Start date, Duration, Assigned task, Task state 
,,,
29 Oct 2019 at 08:26:29,25,MA8704,Done 
29 Oct 2019 at 08:56:42,25,MA8704,Done 
29 Oct 2019 at 09:26:49,25,MA8704,Done 
29 Oct 2019 at 09:56:58,25,MA8704,Done 
29 Oct 2019 at 10:55:48,25,MA8704,Done 
29 Oct 2019 at 11:26:03,25,MA8704,Done 
29 Oct 2019 at 12:17:03,25,MA8704,Done 
29 Oct 2019 at 12:59:05,25,MA8704,Done 
29 Oct 2019 at 13:24:27,25,MA8704,Done 
29 Oct 2019 at 14:03:20,25,Matmod project,To Do 
29 Oct 2019 at 14:33:30,25,Matmod project,To Do 
30 Oct 2019 at 07:59:15,25,focused-app,To Do 
30 Oct 2019 at 08:29:23,25,focused-app,To Do 
30 Oct 2019 at 09:00:57,25,focused-app,To Do 
30 Oct 2019 at 09:31:30,25,focused-app,To Do 
30 Oct 2019 at 10:10:40,25,focused-app,To Do 
30 Oct 2019 at 10:35:48,25,Matmod project,To Do 
30 Oct 2019 at 11:00:57,25,Matmod project,To Do 
30 Oct 2019 at 11:26:02,25,Matmod project,To Do 
30 Oct 2019 at 11:51:10,25,Matmod project,To Do 
30 Oct 2019 at 12:42:04,25,Matmod project,To Do 
30 Oct 2019 at 13:07:16,25,Matmod project,To Do 
30 Oct 2019 at 13:37:33,25,Matmod project,To Do 
30 Oct 2019 at 14:07:52,25,Matmod project,To Do 
30 Oct 2019 at 14:38:00,25,Matmod project,To Do 
30 Oct 2019 at 17:26:55,25,MA8704,Done 
30 Oct 2019 at 18:08:35,25,Project thesis,To Do 
30 Oct 2019 at 18:33:49,25,Project thesis,To Do 
30 Oct 2019 at 18:58:55,25,Project thesis,To Do 
