Start date, Duration, Assigned task, Task state 
,,,
29 Oct 2019 at 08:26:29,25,MA8704,To Do 
29 Oct 2019 at 08:56:42,25,MA8704,To Do 
29 Oct 2019 at 09:26:49,25,MA8704,To Do 
29 Oct 2019 at 09:56:58,25,MA8704,To Do 
29 Oct 2019 at 10:55:48,25,MA8704,To Do 
29 Oct 2019 at 11:26:03,25,MA8704,To Do 
29 Oct 2019 at 12:17:03,25,MA8704,To Do 
29 Oct 2019 at 12:59:05,25,MA8704,To Do 
29 Oct 2019 at 13:24:27,25,MA8704,To Do 
29 Oct 2019 at 14:03:20,25,Matmod project,To Do 
29 Oct 2019 at 14:33:30,25,Matmod project,To Do 
